net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
IO1,1,116.493,64,73 58 73 58 40 58 40 41 23 41 23 22 23 22 4 22 4 0 4 0,C71 S61 C37 S44 C17 S27 C3,seam,61,39.113,0.080212,116.11,311.252
IO1,1,116.493,64,73 58 73 58 40 58 40 41 23 41 23 22 23 22 4 22 4 0 4 0,C71 S61 C37 S44 C17 S27 C3,crease,37,4.89,0.010028,118.516,311.387
IO1,1,116.493,64,73 58 73 58 40 58 40 41 23 41 23 22 23 22 4 22 4 0 4 0,C71 S61 C37 S44 C17 S27 C3,seam,44,16.617,0.034077,258.18,-1.521
IO1,1,116.493,64,73 58 73 58 40 58 40 41 23 41 23 22 23 22 4 22 4 0 4 0,C71 S61 C37 S44 C17 S27 C3,crease,17,4.89,0.010028,249.666,-10.56
IO1,1,116.493,64,73 58 73 58 40 58 40 41 23 41 23 22 23 22 4 22 4 0 4 0,C71 S61 C37 S44 C17 S27 C3,seam,27,39.113,0.080212,55.703,7.741
IO1,1,116.493,64,73 58 73 58 40 58 40 41 23 41 23 22 23 22 4 22 4 0 4 0,C71 S61 C37 S44 C17 S27 C3,crease,3,41.943,0.086016,56.009,22.282
GND,1,260.574,151,0 14 32 50 49 50 49 67 73 50 68 69 70 71 72 55 72 55,S17 C30 S52 C47 C62 S84 C63 C64 C65 C66 C67 S57,seam,17,44.079,0.090396,43.063,48.166
GND,1,260.574,151,0 14 32 50 49 50 49 67 73 50 68 69 70 71 72 55 72 55,S17 C30 S52 C47 C62 S84 C63 C64 C65 C66 C67 S57,crease,30,37.612,0.077134,37.331,69.028
GND,1,260.574,151,0 14 32 50 49 50 49 67 73 50 68 69 70 71 72 55 72 55,S17 C30 S52 C47 C62 S84 C63 C64 C65 C66 C67 S57,seam,52,16.617,0.034077,37.302,91.221
GND,1,260.574,151,0 14 32 50 49 50 49 67 73 50 68 69 70 71 72 55 72 55,S17 C30 S52 C47 C62 S84 C63 C64 C65 C66 C67 S57,crease,47,2.312,0.00474,35.064,109.803
GND,1,260.574,151,0 14 32 50 49 50 49 67 73 50 68 69 70 71 72 55 72 55,S17 C30 S52 C47 C62 S84 C63 C64 C65 C66 C67 S57,crease,62,37.912,0.077748,35.566,114.22
GND,1,260.574,151,0 14 32 50 49 50 49 67 73 50 68 69 70 71 72 55 72 55,S17 C30 S52 C47 C62 S84 C63 C64 C65 C66 C67 S57,seam,84,43.658,0.089533,34.909,126.199
GND,1,260.574,151,0 14 32 50 49 50 49 67 73 50 68 69 70 71 72 55 72 55,S17 C30 S52 C47 C62 S84 C63 C64 C65 C66 C67 S57,crease,63,37.612,0.077134,21.361,108.783
GND,1,260.574,151,0 14 32 50 49 50 49 67 73 50 68 69 70 71 72 55 72 55,S17 C30 S52 C47 C62 S84 C63 C64 C65 C66 C67 S57,crease,64,3.968,0.008137,7.658,108.264
GND,1,260.574,151,0 14 32 50 49 50 49 67 73 50 68 69 70 71 72 55 72 55,S17 C30 S52 C47 C62 S84 C63 C64 C65 C66 C67 S57,crease,65,7.743,0.015878,-9.07,109.269
GND,1,260.574,151,0 14 32 50 49 50 49 67 73 50 68 69 70 71 72 55 72 55,S17 C30 S52 C47 C62 S84 C63 C64 C65 C66 C67 S57,crease,66,11.658,0.023909,-27.292,105.973
GND,1,260.574,151,0 14 32 50 49 50 49 67 73 50 68 69 70 71 72 55 72 55,S17 C30 S52 C47 C62 S84 C63 C64 C65 C66 C67 S57,crease,67,9.842,0.020183,-42.55,105.884
GND,1,260.574,151,0 14 32 50 49 50 49 67 73 50 68 69 70 71 72 55 72 55,S17 C30 S52 C47 C62 S84 C63 C64 C65 C66 C67 S57,seam,57,28.488,0.058421,-66.448,136.839
